Date,Numberofsubscribers,increament,Bank
22.05.24,121203,48,CBE
21.05.24,121155,384,CBE
20.05.24,120771,119,CBE
19.05.24,120652,81,CBE
18.05.24,120571,-29,CBE
17.05.24,120600,-72,CBE
16.05.24,120672,-11,CBE
15.05.24,120683,138,CBE
14.05.24,120545,226,CBE
13.05.24,120319,63,CBE
13.05.24,120319,63,CBE
12.05.24,120256,17,CBE
11.05.24,120239,218,CBE
10.05.24,120021,397,CBE
09.05.24,119624,876,CBE
08.05.24,118748,51,CBE
07.05.24,118697,75,CBE
06.05.24,118622,12,CBE
05.05.24,118610,926,CBE
04.05.24,117684,1420,CBE
03.05.24,116264,-114,CBE
02.05.24,116378,245,CBE
01.05.24,116133,240,CBE
30.04.24,115893,1203,CBE
29.04.24,114690,667,CBE
28.04.24,114023,19,CBE
27.04.24,114004,20,CBE
26.04.24,113984,225,CBE
25.04.24,113759,-99,CBE
24.04.24,113858,72,CBE
23.04.24,113786,103,CBE
22.04.24,113683,97,CBE
21.04.24,113586,-152,CBE
20.04.24,113738,11,CBE
19.04.24,113727,98,CBE
18.04.24,113629,76,CBE
17.04.24,113553,25,CBE
16.04.24,113528,140,CBE
15.04.24,113388,223,CBE
14.04.24,113165,106,CBE
13.04.24,113059,12,CBE
12.04.24,113047,83,CBE
11.04.24,112964,-29,CBE
10.04.24,112993,87,CBE
09.04.24,112906,382,CBE
08.04.24,112524,321,CBE
07.04.24,112203,165,CBE
06.04.24,112038,204,CBE
05.04.24,111834,160,CBE
04.04.24,111674,-20,CBE
03.04.24,111694,243,CBE
02.04.24,111451,444,CBE
01.04.24,111007,307,CBE
31.03.24,110700,84,CBE
30.03.24,110616,132,CBE
29.03.24,110484,217,CBE
28.03.24,110267,316,CBE
27.03.24,109951,565,CBE
26.03.24,109386,376,CBE
25.03.24,109010,-52,CBE
24.03.24,109062,88,CBE
23.03.24,108974,200,CBE
22.03.24,108774,177,CBE
21.03.24,108597,312,CBE
20.03.24,108285,405,CBE
19.03.24,107880,486,CBE
18.03.24,107394,926,CBE
17.03.24,106468,1015,CBE
16.03.24,105453,2503,CBE
15.03.24,102950,-14,CBE
14.03.24,102964,-13,CBE
13.03.24,102977,-50,CBE
12.03.24,103027,69,CBE
11.03.24,102958,24,CBE
10.03.24,102934,-21,CBE
09.03.24,102955,68,CBE
08.03.24,102887,27,CBE
07.03.24,102860,34,CBE
06.03.24,102826,146,CBE
05.03.24,102680,70,CBE
04.03.24,102610,144,CBE
03.03.24,102466,-110,CBE
02.03.24,102576,129,CBE
01.03.24,102447,123,CBE
29.02.24,102324,160,CBE
28.02.24,102164,128,CBE
27.02.24,102036,57,CBE
26.02.24,101979,130,CBE
25.02.24,101849,93,CBE
24.02.24,101756,153,CBE
23.02.24,101603,-33,CBE
22.02.24,101636,284,CBE
21.02.24,101352,244,CBE
20.02.24,101108,468,CBE
19.02.24,100640,88,CBE
18.02.24,100552,102,CBE
17.02.24,100450,140,CBE
16.02.24,100310,85,CBE
15.02.24,100225,111,CBE
14.02.24,100114,69,CBE
13.02.24,100045,34,CBE
12.02.24,100011,90,CBE
11.02.24,99921,60,CBE
10.02.24,99861,-5,CBE
09.02.24,99866,112,CBE
08.02.24,99754,-14,CBE
07.02.24,99768,-47,CBE
06.02.24,99815,97,CBE
05.02.24,99718,126,CBE
04.02.24,99592,103,CBE
03.02.24,99489,82,CBE
